symbol_dir,report_file,rel_path,inferred_date,date_source,confidence,file_birthtime
002233,塔牌集团投资分析报告.md,002233/塔牌集团投资分析报告.md,2026-04-24,内容-元数据完整日期,high,2026-04-24 00:45:59
002241,歌尔股份_稳健投资策略分析报告.md,002241/歌尔股份_稳健投资策略分析报告.md,2026-05-01,内容-元数据完整日期,high,2026-05-01 09:08:06
002271,东方雨虹_投资分析报告.md,002271/东方雨虹_投资分析报告.md,2026-04-23,内容-元数据完整日期,high,2026-04-23 20:47:38
002274,华昌化工_稳健投资策略分析报告.md,002274/华昌化工_稳健投资策略分析报告.md,2026-04-24,内容-元数据完整日期,high,2026-04-24 09:19:39
002303,美盈森投资分析报告.md,002303/美盈森投资分析报告.md,2026-04-23,内容-元数据完整日期,high,2026-04-23 21:39:34
002304,洋河股份_稳健投资策略分析报告.md,002304/洋河股份_稳健投资策略分析报告.md,2026-04-20,内容-元数据完整日期,high,2026-04-20 20:59:29
002327,富安娜_稳健投资策略分析报告.md,002327/富安娜_稳健投资策略分析报告.md,2026-04-20,内容-元数据完整日期,high,2026-04-20 21:01:20
002352,顺丰控股_稳健投资策略分析报告.md,002352/顺丰控股_稳健投资策略分析报告.md,2026-04-20,内容-元数据完整日期,high,2026-04-20 20:59:31
002367,康力电梯投资分析报告.md,002367/康力电梯投资分析报告.md,2025-12-31,内容-元数据完整日期,high,2026-04-24 09:20:40
002372,伟星新材投资分析报告.md,002372/伟星新材投资分析报告.md,2026-04-23,内容-元数据完整日期,high,2026-04-23 23:59:47
002400,省广集团_综合分析报告.md,002400/省广集团_综合分析报告.md,2026-04-30,内容-元数据完整日期,high,2026-05-03 00:12:14
002415,海康威视_稳健投资策略分析报告.md,002415/海康威视_稳健投资策略分析报告.md,2026-04-20,内容-元数据完整日期,high,2026-04-20 21:34:10
002441,众业达投资分析报告.md,002441/众业达投资分析报告.md,2026-04-24,内容-元数据完整日期,high,2026-04-24 00:21:58
002469,三维化学稳健投资策略分析报告.md,002469/三维化学稳健投资策略分析报告.md,2026-04-24,内容-元数据完整日期,high,2026-04-24 09:18:12
002507,涪陵榨菜_稳健投资策略分析报告.md,002507/涪陵榨菜_稳健投资策略分析报告.md,2026-04-20,内容-元数据完整日期,high,2026-04-20 20:50:42
002508_2025年三季报,老板电器_稳健投资策略分析报告.md,002508_2025年三季报/老板电器_稳健投资策略分析报告.md,2026-04-22,内容-元数据完整日期,high,2026-04-22 23:47:24
002521,齐峰新材投资分析报告.md,002521/齐峰新材投资分析报告.md,2026-04-24,内容-元数据完整日期,high,2026-04-24 09:20:35
002540,亚太科技投资分析报告.md,002540/亚太科技投资分析报告.md,2026-04-24,内容-元数据完整日期,high,2026-04-24 09:23:23
002555,投资分析报告.md,002555/投资分析报告.md,2026-04-24,内容-元数据完整日期,high,2026-04-24 09:20:27
002557,洽洽食品_稳健投资策略分析报告.md,002557/洽洽食品_稳健投资策略分析报告.md,2026-04-20,内容-元数据完整日期,high,2026-04-20 22:40:17
002563,森马服饰_投资分析报告.md,002563/森马服饰_投资分析报告.md,2026-04-23,内容-元数据完整日期,high,2026-04-23 20:50:13
002568,百润股份_稳健投资策略分析报告.md,002568/百润股份_稳健投资策略分析报告.md,2026-04-22,内容-元数据完整日期,high,2026-04-22 22:17:51
002572,索菲亚_稳健投资策略分析报告.md,002572/索菲亚_稳健投资策略分析报告.md,2026-04-20,内容-元数据完整日期,high,2026-04-20 20:51:57
002597,金禾实业_稳健投资策略分析报告.md,002597/金禾实业_稳健投资策略分析报告.md,2026-04-28,内容-元数据完整日期,high,2026-04-28 00:37:47
002601,龙佰集团_稳健投资策略分析报告.md,002601/龙佰集团_稳健投资策略分析报告.md,2026-04-28,内容-元数据完整日期,high,2026-04-28 11:20:04
002616,长青集团_稳健投资策略分析报告.md,002616/长青集团_稳健投资策略分析报告.md,2026-05-05,内容-元数据完整日期,high,2026-05-05 11:23:28
002661,克明食品投资分析报告.md,002661/克明食品投资分析报告.md,2026-04-24,内容-元数据完整日期,high,2026-04-24 09:22:18
002690,美亚光电_稳健投资策略分析报告.md,002690/美亚光电_稳健投资策略分析报告.md,2026-04-20,内容-元数据完整日期,high,2026-04-20 21:26:38
00270HK,粤海投资_稳健投资策略分析报告.md,00270HK/粤海投资_稳健投资策略分析报告.md,2026-05-21,内容-元数据完整日期,high,2026-05-21 11:22:45
002714,牧原股份_稳健投资策略分析报告.md,002714/牧原股份_稳健投资策略分析报告.md,2026-04-20,内容-元数据完整日期,high,2026-04-20 21:12:51
002749,国光股份投资分析报告.md,002749/国光股份投资分析报告.md,2026-04-23,内容-元数据完整日期,high,2026-04-23 20:52:32
002763,汇洁股份_稳健投资策略分析报告.md,002763/汇洁股份_稳健投资策略分析报告.md,2026-04-24,内容-元数据完整日期,high,2026-04-24 00:22:17
002807,江阴银行_稳健投资策略分析报告.md,002807/江阴银行_稳健投资策略分析报告.md,2026-04-23,内容-元数据完整日期,high,2026-04-23 21:27:51
002818,富森美投资分析报告.md,002818/富森美投资分析报告.md,2026-04-23,内容-元数据完整日期,high,2026-04-23 20:49:03
002884,凌霄泵业_投资分析报告.md,002884/凌霄泵业_投资分析报告.md,2026-04-24,内容-元数据完整日期,high,2026-04-24 00:21:18
002966,苏州银行_投资分析报告.md,002966/苏州银行_投资分析报告.md,2026-04-24,内容-元数据完整日期,high,2026-04-24 09:21:10
002991,甘源食品_稳健投资策略分析报告.md,002991/甘源食品_稳健投资策略分析报告.md,2026-04-20,内容-元数据完整日期,high,2026-04-20 21:15:45
002998,优彩资源_稳健投资策略分析报告.md,002998/优彩资源_稳健投资策略分析报告.md,2026-04-24,内容-元数据完整日期,high,2026-04-24 00:45:10
003000,劲仔食品_003000_分析报告.md,003000/劲仔食品_003000_分析报告.md,2026-04-20,内容-元数据完整日期,high,2026-04-20 22:20:11
003008,开普检测投资分析报告.md,003008/开普检测投资分析报告.md,2026-04-24,内容-元数据完整日期,high,2026-04-24 09:18:49
00696.HK,中国民航信息网络_稳健投资策略分析报告.md,00696.HK/中国民航信息网络_稳健投资策略分析报告.md,2026-05-21,内容-元数据完整日期,high,2026-05-21 11:20:56
00855HK,中国水务_稳健投资策略分析报告.md,00855HK/中国水务_稳健投资策略分析报告.md,2026-05-21,内容-元数据完整日期,high,2026-05-21 10:39:38
00874.HK,白云山_稳健投资策略分析报告.md,00874.HK/白云山_稳健投资策略分析报告.md,2026-05-21,内容-元数据完整日期,high,2026-05-21 10:33:45
00941.HK,中国移动_稳健投资策略分析报告_20260508.md,00941.HK/中国移动_稳健投资策略分析报告_20260508.md,2026-05-08,文件名-完整日期,high,2026-05-08 16:10:15
01024.HK,快手-W_稳健投资策略分析报告.md,01024.HK/快手-W_稳健投资策略分析报告.md,2026-04-21,内容-元数据完整日期,high,2026-04-23 17:12:15
01066.HK,威高股份_稳健投资策略分析报告.md,01066.HK/威高股份_稳健投资策略分析报告.md,2026-07-08,内容-元数据完整日期,high,2026-07-08 22:26:13
01066.HK_2026_05_21,威高股份_稳健投资策略分析报告.md,01066.HK_2026_05_21/威高股份_稳健投资策略分析报告.md,2026-05-21,内容-元数据完整日期,high,2026-05-21 11:21:54
01193HK,华润燃气_稳健投资策略分析报告.md,01193HK/华润燃气_稳健投资策略分析报告.md,2026-05-21,内容-元数据完整日期,high,2026-05-21 10:32:03
01368.HK,特步国际_稳健投资策略分析报告.md,01368.HK/特步国际_稳健投资策略分析报告.md,2026-05-21,内容-元数据完整日期,high,2026-05-21 08:50:07
02097.HK,蜜雪集团_稳健投资策略分析报告.md,02097.HK/蜜雪集团_稳健投资策略分析报告.md,2026-05-21,内容-元数据完整日期,high,2026-05-21 11:17:15
02313.HK,申洲国际_稳健投资策略分析报告.md,02313.HK/申洲国际_稳健投资策略分析报告.md,2026-07-09,内容-元数据完整日期,high,2026-07-09 20:32:02
02313.HK_2026-05-21,申洲国际_稳健投资策略分析报告.md,02313.HK_2026-05-21/申洲国际_稳健投资策略分析报告.md,2026-05-21,内容-元数据完整日期,high,2026-05-21 10:35:25
02367.HK_4.20分析,巨子生物_稳健投资策略分析报告.md,02367.HK_4.20分析/巨子生物_稳健投资策略分析报告.md,2026-04-21,内容-元数据完整日期,high,2026-04-23 17:16:34
02669.HK,中海物业_稳健投资策略分析报告.md,02669.HK/中海物业_稳健投资策略分析报告.md,2026-05-21,内容-元数据完整日期,high,2026-05-12 14:44:45
03320.HK,华润医药_稳健投资策略分析报告.md,03320.HK/华润医药_稳健投资策略分析报告.md,2026-05-21,内容-元数据完整日期,high,2026-05-21 10:36:10
03690.HK,美团-W_稳健投资策略分析报告.md,03690.HK/美团-W_稳健投资策略分析报告.md,2026-04-21,内容-元数据完整日期,high,2026-04-22 16:34:11
03918,金界控股_稳健投资策略分析报告.md,03918/金界控股_稳健投资策略分析报告.md,2026-05-21,内容-元数据完整日期,high,2026-05-21 10:35:02
06049.HK,保利物业_稳健投资策略分析报告.md,06049.HK/保利物业_稳健投资策略分析报告.md,2026-05-12,内容-元数据完整日期,high,2026-05-12 13:51:43
06186.HK,中国飞鹤_稳健投资策略分析报告.md,06186.HK/中国飞鹤_稳健投资策略分析报告.md,2026-05-21,内容-元数据完整日期,high,2026-05-21 10:33:48
06862.HK,海底捞_06862.HK_稳健投资策略分析报告.md,06862.HK/海底捞_06862.HK_稳健投资策略分析报告.md,2026-07-08,内容-元数据完整日期,high,2026-07-08 22:30:37
06862.HK_2026_04_21,海底捞_稳健投资策略分析报告.md,06862.HK_2026_04_21/海底捞_稳健投资策略分析报告.md,2026-04-21,内容-元数据完整日期,high,2026-04-23 17:15:51
09985.HK,卫龙美味_稳健投资策略分析报告.md,09985.HK/卫龙美味_稳健投资策略分析报告.md,2026-05-21,内容-元数据完整日期,high,2026-05-21 10:33:22
09987.HK,百胜中国_09987.HK_稳健投资策略分析报告.md,09987.HK/百胜中国_09987.HK_稳健投资策略分析报告.md,2026-07-09,内容-元数据完整日期,high,2026-07-09 19:58:06
09987.HK_2026_05_20,百胜中国_稳健投资策略分析报告.md,09987.HK_2026_05_20/百胜中国_稳健投资策略分析报告.md,2026-05-20,内容-元数据完整日期,high,2026-05-20 19:03:54
